timestamp,n,ascii_size,generator,gen_time_s,gen_peak_kb,maze_txt,maze_png,solver,solve_time_s,solve_peak_kb,solution_txt,solution_png
2025-09-16T11:24:11,7,15x15,Backtracker,0.001185,9,run_maze_backtracker.txt,run_maze_backtracker.png,DFS,0.000448,14,run_solution_dfs.txt,run_solution_dfs.png
2025-09-16T11:26:29,9,19x19,Kruskal,0.001123,31,DI_maze_kruskal.txt,DI_maze_kruskal.png,DFS,0.000649,29,DI_solution_dfs.txt,DI_solution_dfs.png
2025-09-16T14:52:27,8,17x17,Kruskal,0.001677,26,im_maze_kruskal.txt,im_maze_kruskal.png,None,,,,
2025-09-19T16:49:12,20,41x41,Backtracker,0.064591,75,testdemo_maze_backtracker.txt,testdemo_maze_backtracker.png,DFS,0.001971,60,testdemo_solution_dfs.txt,testdemo_solution_dfs.png
2025-09-19T16:54:19,19,39x39,Backtracker,0.011177,74,testdemo1_maze_backtracker.txt,testdemo1_maze_backtracker.png,DFS,0.006852,73,testdemo1_solution_dfs.txt,testdemo1_solution_dfs.png
2025-09-19T16:56:59,20,41x41,Backtracker,0.011801,76,testdemo2_maze_backtracker.txt,testdemo2_maze_backtracker.png,DFS,0.007480,164,testdemo2_solution_dfs.txt,testdemo2_solution_dfs.png
2025-09-19T17:06:50,20,41x41,Backtracker,0.011949,75,testd_maze_backtracker.txt,testd_maze_backtracker.png,DFS,0.008565,171,testd_solution_dfs.txt,testd_solution_dfs.png
2025-09-19T17:08:26,20,41x41,Backtracker,0.013778,75,nom_maze_backtracker.txt,nom_maze_backtracker.png,DFS,0.007768,165,nom_solution_dfs.txt,nom_solution_dfs.png
2025-09-22T07:39:15,50,101x101,Kruskal,0.029621,1041,testA_1_maze_kruskal.txt,testA_1_maze_kruskal.png,A*,0.027292,1022,testA_1_solution_astar.txt,testA_1_solution_astar.png
2025-09-22T07:41:33,1000,2001x2001,Kruskal,23.868622,492366,testA_2_maze_kruskal.txt,testA_2_maze_kruskal.png,A*,22.119827,596761,testA_2_solution_astar.txt,testA_2_solution_astar.png
2025-09-22T10:08:18,1000,2001x2001,Backtracker,25.267780,146113,testA_3_maze_backtracker.txt,testA_3_maze_backtracker.png,A*,17.966672,346662,testA_3_solution_astar.txt,testA_3_solution_astar.png
2025-09-22T10:20:39,2000,4001x4001,Backtracker,119.386621,599844,test2k_maze_backtracker.txt,test2k_maze_backtracker.png,A*,97.436935,799728,test2k_solution_astar.txt,test2k_solution_astar.png
2025-09-22T10:33:10,1000,2001x2001,Kruskal,42.187829,492366,testKDFS1k_maze_kruskal.txt,testKDFS1k_maze_kruskal.png,DFS,7.810114,217773,testKDFS1k_solution_dfs.txt,testKDFS1k_solution_dfs.png
2025-09-22T10:38:27,1000,2001x2001,Kruskal,70.311926,492366,testKA_1k_maze_kruskal.txt,testKA_1k_maze_kruskal.png,A*,81.896973,643528,testKA_1k_solution_astar.txt,testKA_1k_solution_astar.png
2025-09-22T14:17:41,10,21x21,Backtracker,0.003772,21,testblaze_maze_backtracker.txt,testblaze_maze_backtracker.png,DFS,0.001078,46,testblaze_solution_dfs.txt,testblaze_solution_dfs.png
2025-09-22T14:26:10,10,21x21,Backtracker,0.004531,17,testblazeee_maze_backtracker.txt,testblazeee_maze_backtracker.png,DFS,0.001276,37,testblazeee_solution_dfs.txt,testblazeee_solution_dfs.png
2025-09-22T14:28:41,20,41x41,Backtracker,0.011490,75,ascii\testblazepls_maze_backtracker.txt,testblazepls_maze_backtracker.png,DFS,0.002730,123,testblazepls_solution_dfs.txt,testblazepls_solution_dfs.png
2025-09-22T14:37:56,1000,2001x2001,Kruskal,58.153762,492459,ascii\testK1K_maze_kruskal.txt,testK1K_maze_kruskal.png,DFS,9.888792,234679,testK1K_solution_dfs.txt,testK1K_solution_dfs.png
2025-09-22T14:48:28,2000,4001x4001,Backtracker,160.625612,599852,ascii\testB1K_maze_backtracker.txt,testB1K_maze_backtracker.png,DFS,35.842123,582537,testB1K_solution_dfs.txt,testB1K_solution_dfs.png
2025-09-22T15:28:42,40,81x81,Backtracker,0.058398,291,ascii\Akram_maze_backtracker.txt,Akram_maze_backtracker.png,DFS,0.010172,212,Akram_solution_dfs.txt,Akram_solution_dfs.png
2025-09-22T15:29:34,40,81x81,Kruskal,0.034048,592,ascii\AkramK_maze_kruskal.txt,AkramK_maze_kruskal.png,DFS,0.024200,472,AkramK_solution_dfs.txt,AkramK_solution_dfs.png
2025-09-22T15:30:32,40,81x81,Backtracker,0.051184,220,ascii\Akram_maze_backtracker.txt,Akram_maze_backtracker.png,A*,0.076170,305,Akram_solution_astar.txt,Akram_solution_astar.png
2025-09-22T15:31:17,40,81x81,Kruskal,0.056861,550,ascii\Akram_maze_kruskal.txt,Akram_maze_kruskal.png,A*,0.026438,632,Akram_solution_astar.txt,Akram_solution_astar.png
2025-09-22T15:33:41,40,81x81,Backtracker,0.053657,221,ascii\LastTest_maze_backtracker.txt,LastTest_maze_backtracker.png,DFS,0.012563,216,LastTest_solution_dfs.txt,LastTest_solution_dfs.png
2025-09-22T15:34:29,60,121x121,Backtracker,0.124787,358,ascii\VeryLastTest_maze_backtracker.txt,VeryLastTest_maze_backtracker.png,DFS,0.057348,820,VeryLastTest_solution_dfs.txt,VeryLastTest_solution_dfs.png
